id,pros,cons,meta_description
"alfa_romeo_tonale","Italiensk passion;Snygg design;Rolig att köra;Unik","Pålitlighet frågetecken;Litet servicenät;Plastigt interiör;Dyr",""
"audi_a1","Premium-känsla i kompaktklass;Modern interiör;Bra finish;Lättkörd i stan","Trångt baksäte;Dyr för storleken;Endast bensin;Hård fjädring i sportpaket",""
"audi_a3","Premium-känsla;Modern teknik;Bra laddhybrid;S3 och RS3 versioner stark","Dyra tillval;Trångt baksäte;Hård fjädring i S-Line;FWD i basversion",""
"audi_a4","Utmärkt kvalitet;Rymlig sedan;Bra att köra;Stark begagnatmarknad","Modellen ersätts av A5;Interiör börjar datera sig;Inte billigast;Standardutrustning snål",""
"audi_a5","Snygg coupé och Sportback;Premium-interiör;Stark RS5;Bra köregenskaper","Dyra tillval;Hård fjädring i S-Line;Trångt bak i coupé;FWD i basversion",""
"audi_a6","Lyxig;Kvalitetskänsla;Bekväm;Stark quattro","Dyr med tillval;Komplex infotainment;Inte sportigast;Börjar datera sig",""
"audi_a6_e_tron","Lång räckvidd (700+ km);Snabb laddning (270kW);Premium-interiör;Avant-version finns","Dyr;Komplex teknik;Tung;Begränsat utbud i basversion",""
"audi_a7","Vacker fyrdörrarscoupé;Stor lucka (kombiluck);Lyxig interiör;Stark RS7","Dyra tillval;Sjunkande andrahandsvärde;Sämre sikt bakåt;Komplext infotainment",""
"audi_a8","Lyxig interiör;Mycket komfort;Stark prestanda;quattro standard","Snabb värdeminskning;Diskret design;Dyr;Stor och otymplig",""
"audi_e_tron_gt","Snygg sportsedan;Stark prestanda;Snabb laddning (270kW);Premium-känsla","Liten bagageutrymme;Trångt bak;Dyr;Kortare räckvidd än Taycan",""
"audi_q2","Kompakt Audi;Premium-känsla;Snygg design;Bra att köra","Dyr för storleken;Trångt;Liten bagage;Föråldrad teknik",""
"audi_q3","Välbyggd och solid;Rymligt bagageutrymme;Virtual Cockpit;Bra körställning","Lite tråkig design;Dyra tillval;Standardmotor svag;Ingen laddhybrid",""
"audi_q4_etron","Audi-kvalitet;Rymlig;Bekväm;Virtual Cockpit","VW-mjukvaruproblem;Inte så sportig;Inte bäst räckvidd;Dyr",""
"audi_q5","Gedigen kvalitetskänsla;Virtual Cockpit;Praktisk och rymlig;Quattro fyrhjulsdrift","Interiör känns lite daterad;Inte lika sportig som BMW;Dyra tillval;Föråldrad infotainment",""
"audi_q6_etron","Bra räckvidd (~600 km);Snabb laddning;Modern interiör;Premium-känsla","Dyr;Komplex infotainment;Tung;Hård fjädring i S-Line",""
"audi_q7","Enormt utrymme;7 riktiga sittplatser;Premium-kvalitet;Stark quattro","Mycket dyr;Litet bagage med 7 säten;Stor och tung;Höga driftskostnader",""
"audi_q8","Sportig SUV-coupé;Lyxig;Kraftfulla motorer;Prestige","Extremt dyr;Bara 5 sittplatser;Hög förbrukning;Dyra tillval",""
"audi_q8_etron","Lång räckvidd (600+ km);Premium-kvalitet;Snabb laddning;Tyst och bekväm","Hög inköpskostnad;Tung bil;Inte supersportig;Börjar datera sig",""
"bmw_1_series","Premium-känsla;Bra köregenskaper;Modern interiör;Snålt med bensin","Trångt baksäte;FWD i basversionen;Dyra tillval;Liten bakruta",""
"bmw_2_series","Klassisk RWD;Sportig;Stark M240i;Bra ljudisolering","Trångt bak;Litet bagageutrymme;Dyrt tillvalspaket;Tuff design",""
"bmw_2_active_tourer","Praktisk familjebil;Bra laddhybrid;Hög sittställning;Premium-känsla","FWD endast i bas;Inte sportig;Dyra tillval;Glansiga ytor",""
"bmw_3_series","Referensen för körglädje;Sportslig men bekväm;Modern teknik;Bra bränsleförbrukning","Trång i baksätet;Dyr med tillval;Inte sportbilskänsla längre;Manuell växellåda utgått",""
"bmw_4_series","Sportig design;Utmärkta köregenskaper;Stark M440i;Premium-interiör","Kontroversiell grill;Trångt baksäte;Dyra tillval;Hård fjädring",""
"bmw_5_series","Ny generation;Finns som i5 elbil;Lyxig;Bäst att köra","Stor och dyr;Kontroversielt iDrive;Dyra tillval;Stor grill",""
"bmw_7_series","Lyxig interiör;Theatre Screen bak;Mjuk gång;Topputrustning","Mycket dyr;Polariserande design;Komplext gränssnitt;Snabb värdeminskning",""
"bmw_i4","Bäst att köra bland elbilar;Gran Coupé-design;Bra räckvidd;Premium","Stor grill;Inte bäst bagageutrymme;Dyr;M50 väldigt snabb men törstig",""
"bmw_i5","Lugn och tyst;Bra räckvidd;Premium-interiör;Bra köregenskaper","Stor och tung;Dyr;Komplex Curved Display;Ingen kombi-version (ännu)",""
"bmw_i7","Lyx i toppklass;Theatre Screen;Tyst gång;Lång räckvidd","Mycket dyr;Polariserande look;Stor och tung;Snabb värdeminskning",""
"bmw_ix","Futuristisk interiör;Lång räckvidd;Tyst och bekväm;Avancerad teknik","Kontroversiell design;Extremt dyr;Stor grill;Inte så sportig",""
"bmw_ix1","Praktisk eldriven SUV;Bra räckvidd;Premium-känsla;Snabb laddning","Dyr för storleken;Inte särskilt sportig;Glansiga ytor i interiör;Bullrig vid hög fart",""
"bmw_ix3","Bekant X3-format;Bra räckvidd;Bekväm;BMW-kvalitet","Bara bakhjulsdrift;Inte så sportig;Made in China;Design lite tråkig",""
"bmw_m2","Manuell växellåda finns;Stark 460hk motor;Klassisk RWD;Bra köregenskaper","Brutal design;Hård fjädring;Trångt bak;Hög förbrukning",""
"bmw_m3","510hk i Competition;Touring-version (kombi);Manuell finns;Spårtid i toppklass","Polariserande grill;Mycket dyr;Hård fjädring;Hög förbrukning",""
"bmw_m4","Cabriolet-version finns;Stark prestanda;Spårklar;Premium-interiör","Polariserande grill;Mycket dyr;Trångt bak;Hård fjädring",""
"bmw_x1","Rymligare än föregångaren;Finns som ren elbil (iX1);Modern teknik;Rolig att köra","Dyr för kompakt-SUV;Lite plastigt interiör;Bakhjulsdrift borta;Vissa sparar på utrustning",""
"bmw_x2","Sportig look;Modern teknik;iX2-elversion;Bra köregenskaper","Trångt baksäte;Sluttande tak;Dyrare än X1;Begränsad sikt bakåt",""
"bmw_x3","Bäst i klassen att köra;Kraftfulla motorer;Premium-kvalitet;Rymlig för sin storlek","Dyr med tillval;Stötigt med sportfjädring;iDrive tar tid att lära;Höga driftskostnader",""
"bmw_x4","Sportig SUV-coupé;Stark M40i;Premium-interiör;Bra dynamik","Mindre bagage än X3;Sämre sikt bakåt;Dyr;Tuff fjädring",""
"bmw_x5","Oslagbar körglädje i klassen;Lyxig interiör;Kraftfull laddhybrid;Stort bagageutrymme","Mycket dyr i inköp;Höga driftskostnader;Förbrukar mycket;7-sits kostar extra",""
"bmw_x6","Imponerande närvaro;Stark prestanda;Premium-känsla;M-versioner stark","Mindre praktisk än X5;Hög bränsleförbrukning;Mycket dyr;Hård fjädring",""
"bmw_x7","Plats för 7 personer;Lyxig interiör;Stark motorerbjudande;Bra långfärdsbil","Stor och otymplig;Mycket dyr;Hög förbrukning;Polariserande grill",""
"byd_atto3","Välutrustad för priset;Blade-batteriteknik;Rymlig interiör;Bra garanti","Okänt varumärke i Sverige;Osäkert andrahandsvärde;Kvick design;Begränsat servicenätverk",""
"byd_seal","Tesla Model 3-konkurrent;Bra pris för prestanda;Modern teknik;Blade-batteri","Okänt märke;Osäker återförsäljare;Lågt andrahandsvärde?;Begränsad service",""
"citroen_c5_aircross","Extremt bekväm;Bra pris;Rymlig;Advanced Comfort-säten","Inte sportig;Bara framhjulsdrift;Inte 5 stjärnor NCAP;Design dateras",""
"citroen_ec4","Unik design;Bekväm;Bra pris;Advanced Comfort","Inte 5 stjärnor NCAP;Begränsad räckvidd;Inte sportig;Polariserande design",""
"cupra_born","Sportig VW ID.3;Bra pris;Snyggare design;Roligare att köra","VW-mjukvaruproblem;Plastigt interiör;Liten bagage;Bara bakhjulsdrift",""
