"Märke","Modell","Kaross","Beskrivning","Drivmedel","Drivlina","Sittplatser","Styrkor","Svagheter","Passar för","Bättre alternativ"
"Alfa Romeo","Tonale","SUV","Italiensk kompakt-SUV med sportig design och fokus på körkänsla. Finns som bensinmildhybrid och laddhybrid, där laddhybriden ger lägre förbrukning för pendlare. Mer karaktär än många tyska konkurrenter men trängre och med svagare servicenät.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Snygg italiensk design; Sportig körkänsla; Bra prestanda som laddhybrid","Trängre än konkurrenter; Svagare återförsäljarnät; Andrahandsvärdet osäkert","Den som vill ha annorlunda design; Föraren som söker karaktär framför pragmatik","for_familjen: Volvo XC60"
"Alfa Romeo","Giulia","Sedan","Sportig premiumsedan med bakhjulsdriven karaktär och italiensk personlighet. En av få sedaner som vågar prioritera körglädje framför komfort. Finns även som AWD för svenska vinterförhållanden.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket karaktär och körkänsla; Snygg design; Bra balans i chassit","Svagare andrahandsvärde; Begränsat servicenät; Mindre praktisk än tyska rivaler","Entusiasten som vill ha annorlunda premiumsedan; Den som värdesätter karaktär över rationalitet","for_premium: BMW 3-serie"
"Alfa Romeo","Stelvio","SUV","Sportig premium-SUV med italiensk själ. Bygger på samma plattform som Giulia och erbjuder ovanligt god körkänsla för en SUV. Quadrifoglio-versionen är en av segmentets vassaste prestanda-SUV:ar.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Sportig att köra för att vara SUV; Karaktärsfull design; Bra prestanda","Dyr service; Svagare återförsäljarnät; Lägre andrahandsvärde","Den som vill ha sportig SUV med karaktär; Föraren som tröttnat på tysk standard","for_pragmatik: BMW X3"
"Audi","A1","Halvkombi","Liten premiumbil för stad och pendling. Bygger på samma plattform som VW Polo men med Audis interiör och designspråk. Bra ergonomi och låg förbrukning gör den till en trygg vardagsbil.","Bensin","Tvåhjulsdrift","5","Premiumkänsla i kompakt format; Smidig i stad; Låg förbrukning","Trång baksäte; Litet bagage; Dyra tillval","Stadsboende som vill ha premiummärke; Pendlare med korta sträckor","for_korgladje: MINI Cooper"
"Audi","A3","Halvkombi/Sedan","Kompakt premiumbil som finns som både halvkombi (Sportback) och sedan. Bred motorpalett med allt från snål mildhybrid till sportig S3 och RS3. Bra balans mellan komfort, körning och förbrukning.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket bra interiör och teknik; Bred motorflora; Bra andrahandsvärde","Dyra tillval; Anonym design; Mindre rolig att köra än BMW","Tjänstebilsföraren; Småfamiljen som vill ha premium","for_korgladje: BMW 1-serie"
"Audi","A4 Avant","Kombi","Premiumkombi för vardag och långresa. Klassisk Audi-känsla med tyst kupé och bra långfärdskomfort. Quattro-versionerna är populära i Sverige för vinterföre och stabilitet.","Bensin; Diesel; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Tyst och bekväm på motorvägen; Hög kvalitetskänsla; Bra med quattro i vintervädret","Konservativ design; Dyra tillval; Mindre sportig än BMW","Långpendlare; Tjänstebilsföraren; Familjer som kör mycket","for_sportighet: BMW 3-serie Touring"
"Audi","A5 Avant/Sportback","Kombi/Halvkombi","Snyggare och sportigare alternativ till A4. Tonad takprofil och mer expressiv design utan att förlora praktisk användning. Sportback har stor baklucka som öppnar enkelt åtkomst till bagaget.","Bensin; Diesel; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Snyggare än A4; Bra balans komfort och sport; Praktisk Sportback-lösning","Mindre utrymme än A4 Avant; Dyrare än A4; Större tillval-frestelse","Den som vill ha designtyngd premium; Föraren utan stort bagagebehov","for_utrymme: Skoda Superb"
"Audi","A6 Avant","Kombi","Stor premiumkombi för långresor och tjänstebil. Mycket tyst kupé och hög komfort på motorväg. Quattro är vanligt i Sverige. Konkurrerar med BMW 5-serie Touring och Mercedes E-klass kombi.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Extremt tyst på motorväg; Stort bagage; Hög kvalitetskänsla","Dyra tillval och service; Stor i stad; Tung som laddhybrid","Långpendlare; Tjänstebilsföraren; Familjer med mycket bagage","for_korgladje: BMW 5-serie Touring"
"Audi","A7 Sportback","Halvkombi","Designorienterad GT-bil med stor baklucka och flytande linjer. Mer fokus på utseende än praktiskhet jämfört med A6. Populär bland tjänstebilsförare som vill ha något som sticker ut.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket snygg design; Hög komfort; Praktisk halvkombi-lösning","Dyr med utrustning; Mindre huvudutrymme bak; Lägre andrahandsvärde än A6","Designorienterade tjänstebilsförare; Den som vill sticka ut","for_sportighet: BMW 8-serie Gran Coupé"
"Audi","A8","Sedan","Audis flaggskepp och en av världens mest avslappnade långfärdsbilar. Diskret lyx utan att skrika om det. Mycket teknik, hög komfort och tyst kupé. Tappar dock värde snabbt och blir dyr att äga efter garantitiden.","Bensin; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Fantastiskt tyst kupé; Extrem komfort; Diskret lyx","Mycket dyr efter garanti; Stor i stad; Värdetapp","Den som värdesätter diskret lyx; Chaufförsdriven användning","for_korning: BMW 7-serie"
"Audi","Q2","SUV","Audis minsta SUV för stadsanvändning. Liten utvändigt men begränsat utrymme invändigt. Mer designprodukt än praktisk familjebil. Bra för den som vill ha SUV-känsla i kompakt format.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Smidig i stad; Premiumkänsla; Bra parkeringsegenskaper","Begränsat baksäte; Litet bagage; Dyr för storleken","Stadsboende som vill ha SUV-känsla; Singel eller par","for_korgladje: MINI Countryman"
"Audi","Q3","SUV","Kompakt premium-SUV som passar småfamiljen. Quattro-versionerna är populära i Sverige. Bra balans mellan storlek och praktisk användning. Finns även som sportbacken med sportigare design.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra kvalitetskänsla; Enkel att köra; Quattro funkar bra i vinter","Mindre rolig än BMW X1; Dyr med tillval","Småfamiljen; Den som vill ha kompakt SUV med premiummärke","for_korgladje: BMW X1"
"Audi","Q4 e-tron","SUV","Audis elektriska kompakt-SUV, byggd på samma plattform som VW ID.4. Bekväm och enkel familje-EV men inte lika effektiv som Tesla Model Y. Sportback-versionen har snyggare takprofil.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Bekväm och enkel att använda; Hög kvalitetskänsla; Bra som familje-EV","Lägre effektivitet än Tesla; Mjukvaran inte bäst i klassen; Dyr för räckvidden","Familjer som vill ha premium-EV; Den som vill ha enkel elbil utan teknikfokus","for_teknik: Tesla Model Y"
"Audi","Q5","SUV","Bekväm premium-SUV som många väljer som tjänstebil. Tyst, lättkörd och med god långfärdskomfort. Mindre sportig än BMW X3 men ofta mer avslappnad i vardagen.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Tyst kupé; Bra långfärdsbil; Hög kvalitetskänsla","Hög inköpskostnad; Dyr service; Inte mest rymlig i klassen","Tjänstebilsföraren; Familjer som värdesätter komfort","for_korkansla: BMW X3"
"Audi","Q7","SUV","Stor premium-SUV med plats för sju. Extremt bekväm på motorväg och bra dragbil. Tung och relativt dyr i drift, särskilt efter garantitiden.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","7","Extremt bra långfärdskomfort; Sju säten; Stark dragbil","Dyr service; Hög förbrukning; Stor i stad","Storfamiljen; Den som drar släp eller husvagn","for_sportighet: BMW X5"
"Audi","Q8","SUV","Lyxig coupé-SUV ovanför Q7 i Audis sortiment. Mer fokus på design än praktiskhet. Mindre bagage och bara fem säten jämfört med Q7. Ofta vald för utseendets skull.","Bensin; Diesel; Mildhybrid","Fyrhjulsdrift","5","Hög komfort och tekniknivå; Snygg design; Premium-känsla","Mindre praktisk än Q7; Inga sju säten; Mycket dyr","Den som vill ha lyx-SUV med stil; Par utan stora familjebehov","for_familj: Audi Q7"
"Audi","RS3","Sedan/Halvkombi","Liten vardagsraket med fantastisk femcylindrig motor. Brutal acceleration tack vare quattro-grepp. Hård fjädring i vardagen men ofattbart snabb när det krävs.","Bensin","Fyrhjulsdrift","5","Karaktärfull femcylindrig motor; Brutal acceleration; Fyrhjulsdrift","Hård komfort; Dyr försäkring; Dyr drift","Entusiasten som vill ha vardagsraket; Den som värdesätter karaktär över fyrcylindriga rivaler","for_bakhjulsdrift: BMW M2"
"Audi","RS Q3","SUV","Brutal kompakt prestanda-SUV med samma femcylindriga motor som RS3. Sportback är snyggare men dyrare. Mer karaktär än de flesta tyska konkurrenter tack vare den unika motorn.","Bensin","Fyrhjulsdrift","5","Fantastisk femcylindrig motor; Brutal prestanda; Karaktär","Hård fjädring; Dyr drift; Mindre praktisk än vanlig Q3","Entusiasten som vill ha snabb SUV; Den som vill ha unik motor","for_balans: Porsche Macan"
"Audi","S3","Sedan/Halvkombi","Snabb premiumbil som fungerar året runt tack vare quattro. Bra balans mellan vardag och prestanda utan att vara lika brutal som RS3. Populär bland förare som vill ha en bil för alla väder.","Bensin","Fyrhjulsdrift","5","Bra balans vardag och prestanda; Fyrhjulsdrift året runt; Premium-känsla","Dyrare än Golf R; Mindre rolig än BMW M2","Allroundföraren; Den som vill ha snabb premium-vardag","for_korgladje: BMW M2"
