Marke,Modell,Drivmedel,Pris_SEK,Uppskattad
Alfa Romeo,Alfa Romeo Tonale,"Bensin, Laddhybrid",från ~460 000,ja
Audi,Audi A1,Bensin,274 300 – 306 300,nej
Audi,Audi A3,"Bensin, Diesel, Laddhybrid",332 200 – 754 400,nej
Audi,Audi A4 Avant,Diesel,~494 500,ja
Audi,Audi A5,"Bensin, Diesel",582 100 – 669 000,nej
Audi,Audi A5 Avant,"Bensin, Diesel, Laddhybrid",~579 000 – 719 000,ja
Audi,Audi A6,"Diesel, Laddhybrid",511 500 – 769 000,nej
Audi,Audi A6 Avant e-tron,El,699 000 – 1 232 900,nej
Audi,Audi A7,"Bensin, Diesel",869 500 – 1 390 700,nej
Audi,Audi A8,"Bensin, Diesel",1 049 000 – 1 603 100,nej
Audi,Audi e-tron GT,El,1 258 900 – 1 919 000,nej
Audi,Audi Q2,Bensin,322 900 – 382 300,nej
Audi,Audi Q3,"Bensin, Laddhybrid",381 300 – 784 500,nej
Audi,Audi Q3 Sportback,"Bensin, Laddhybrid",~599 000 – 716 200,ja
Audi,Audi Q4 e-tron,El,570 000 – 735 000,nej
Audi,Audi Q4 e-tron Sportback,El,~592 700 – 756 900,ja
Audi,Audi Q5,"Bensin, Diesel, Laddhybrid",599 000 – 749 700,nej
Audi,Audi Q6 e-tron,El,749 000 – 1 179 900,nej
Audi,Audi Q7,"Bensin, Diesel",från 872 300,nej
Audi,Audi Q8,"Bensin, Diesel",~1 049 000 – 1 391 400,ja
Audi,Audi Q8 e-tron,El,från 865 900,nej
Audi,Audi RS Q3,Bensin,~763 100,ja
Audi,Audi RS3,Bensin,754 400 – 1 209 300,nej
Audi,Audi S3,Bensin,~494 700,ja
BMW,BMW 1-serie,Bensin,från 499 200,nej
BMW,BMW 2-serie Gran Coupe,Bensin,från 492 800,nej
BMW,BMW 3-serie,"Bensin, Diesel",från 515 900,nej
BMW,BMW 3-serie Touring,"Bensin, Diesel",från 515 900,nej
BMW,BMW 4-serie Coupe,"Bensin, Diesel",~663 100 – 730 200,ja
BMW,BMW 4-serie Gran Coupe,"Bensin, Diesel",~500 000 – 700 000,ja
BMW,BMW 5-serie,"Bensin, Diesel, Laddhybrid",från 590 900,nej
BMW,BMW 5-serie Touring,"Bensin, Laddhybrid",från 559 900,nej
BMW,BMW 6-serie GT,"Bensin, Diesel",~523 000 – 928 000,ja
BMW,BMW 7-serie,"Bensin, Laddhybrid",~1 172 600,ja
BMW,BMW i3 (Neue Klasse),El,från 679 900,nej
BMW,BMW i4,El,från 672 500,nej
BMW,BMW i5,El,~679 900 – 855 400,ja
BMW,BMW i7,El,1 425 000 – 1 895 000,nej
BMW,BMW iX,El,999 000 – 1 136 000,nej
BMW,BMW iX1,El,~629 000 – 670 000,ja
BMW,BMW iX2,El,518 700 – 519 000,nej
BMW,BMW iX3,El,från 749 000,nej
BMW,BMW M2,Bensin,879 000 – 1 189 000,nej
BMW,BMW M240i,Bensin,~622 000,ja
BMW,BMW M3,Bensin,1 172 600 – 1 199 900,nej
BMW,BMW M3 Touring,Bensin,från 1 199 200,nej
BMW,BMW M4,Bensin,1 159 700 – 1 463 700,nej
BMW,BMW X1,"Bensin, Laddhybrid",399 900 – 629 400,nej
BMW,BMW X2,"Bensin, El",519 900 – 555 000,nej
BMW,BMW X3,"Bensin, Diesel",609 900 – 823 300,nej
BMW,BMW X4,"Bensin, Diesel",575 700 – 699 100,nej
BMW,BMW X5,"Bensin, Diesel, Laddhybrid",1 019 900 – 1 222 500,nej
BMW,BMW X6,"Bensin, Diesel",929 000 – 1 049 900,nej
BMW,BMW X7,"Bensin, Diesel",1 219 900 – 1 484 900,nej
BMW,BMW Z4,Bensin,544 000 – 585 800,nej
BYD,BYD Atto 3,El,från 494 900,nej
BYD,BYD Dolphin,El,359 900 – 399 900,nej
BYD,BYD Han,El,~797 500 – 816 900,ja
BYD,BYD Seagull,El,~230 000,ja
BYD,BYD Seal,El,från 469 900,nej
BYD,BYD Seal U,"Bensin, Laddhybrid",från 469 900,nej
BYD,BYD Tang,El,~799 900 – 866 600,ja
BYD,BYD Yuan Plus,El,~494 900,ja
Citroën,Citroën C3 Aircross,"Bensin, Hybrid",228 700 – 329 100,nej
Citroën,Citroën C4,"Bensin, Hybrid, El",262 700 – 389 600,nej
Citroën,Citroën C5 Aircross,"Bensin, Laddhybrid, El",379 900 – 489 900,nej
Citroën,Citroën ë-C4,El,~389 700,ja
Cupra,Cupra Ateca,Bensin,~426 900 – 502 400,ja
Cupra,Cupra Born,El,~485 900,ja
Cupra,Cupra Formentor,"Bensin, Laddhybrid",422 900 – 484 500,nej
Cupra,Cupra Leon,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Cupra,Cupra Raval,El,~300 000 – 400 000,ja
Cupra,Cupra Tavascan,El,~500 000 – 600 000,ja
Cupra,Cupra Terramar,"Bensin, Laddhybrid",~450 000 – 550 000,ja
Dacia,Dacia Duster,"Bensin, Laddhybrid",269 900 – 337 400,nej
Dacia,Dacia Jogger,"Bensin, Laddhybrid",~259 900 – 329 600,ja
Dacia,Dacia Sandero,Bensin,~160 000 – 200 000,ja
Dacia,Dacia Spring,El,~250 000 – 300 000,ja
DS,DS 3 Crossback,"Bensin, Diesel, El",~249 900,ja
DS,DS 4,"Bensin, Laddhybrid",~300 000 – 400 000,ja
DS,DS 7 Crossback,"Bensin, Diesel, Laddhybrid",~400 000 – 500 000,ja
DS,DS N°7 (N8),"Bensin Mildhybrid, El",551 200 – 906 500,nej
Fiat,Fiat 124 Spider,Bensin,~300 000 – 400 000,ja
Fiat,Fiat 500,Bensin,~200 000 – 300 000,ja
Fiat,Fiat 500e,El,från 354 900,nej
Fiat,Fiat 500L,Bensin,~200 000 – 300 000,ja
Fiat,Fiat 500X,Bensin,från 261 900,nej
Fiat,Fiat 600,"Bensin, El",~300 000 – 400 000,ja
Fiat,Fiat Doblo,Diesel,~300 000 – 400 000,ja
Fiat,Fiat Ducato,Diesel,~500 000 – 600 000,ja
Fiat,Fiat Grande Panda,"Bensin, Hybrid, El",leasing från ~2 795/mån,ja
Fiat,Fiat Panda,"Bensin, Laddhybrid",~150 000 – 200 000,ja
Fiat,Fiat Scudo,Diesel,~400 000 – 500 000,ja
Fiat,Fiat Tipo Cross,Bensin,~250 000 – 300 000,ja
Ford,Ford Explorer,El,~500 000 – 600 000,ja
Ford,Ford Focus,Bensin,från 322 900,nej
Ford,Ford Focus Kombi,Bensin,~320 000 – 400 000,ja
Ford,Ford Focus RS,Bensin,~500 000 – 600 000,ja
Ford,Ford Focus ST,Bensin,~400 000 – 500 000,ja
Ford,Ford Focus ST Kombi,Bensin,~400 000 – 500 000,ja
Ford,Ford Kuga,"Bensin, Laddhybrid",479 900 – 554 000,nej
Ford,Ford Mustang,Bensin,~500 000 – 700 000,ja
Ford,Ford Mustang Mach-E,El,669 000 – 748 000,nej
Ford,Ford Puma,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Ford,Ford Ranger,Diesel,~500 000 – 700 000,ja
Genesis,Genesis GV60,El,~500 000 – 600 000,ja
Genesis,Genesis GV70,El,~600 000 – 700 000,ja
Honda,Honda Civic,Bensin (Hybrid),349 900 – 629 900,nej
Honda,Honda Civic Type R,Bensin,~500 000 – 600 000,ja
Honda,Honda CR-V,Bensin (Hybrid/Laddhybrid),469 000 – 584 900,nej
Honda,Honda e,El,~300 000 – 400 000,ja
Honda,Honda e:Ny1,El,~400 000 – 500 000,ja
Honda,Honda HR-V,Bensin (Hybrid),~300 000 – 400 000,ja
Honda,Honda Jazz,Bensin (Hybrid),~250 000 – 300 000,ja
Honda,Honda Prelude,Bensin (Hybrid),~400 000 – 500 000,ja
Honda,Honda ZR-V,Bensin (Hybrid),~350 000 – 450 000,ja
Hyundai,Hyundai Bayon,Bensin,~200 000 – 300 000,ja
Hyundai,Hyundai i10,Bensin,179 900 – 211 900,nej
Hyundai,Hyundai i20,Bensin,221 900 – 286 900,nej
Hyundai,Hyundai i20 N,Bensin,~300 000 – 400 000,ja
Hyundai,Hyundai i30,Bensin,254 900 – 319 900,nej
Hyundai,Hyundai i30 SW,Bensin,~250 000 – 300 000,ja
Hyundai,Hyundai i40 SW,Diesel,~250 000 – 300 000,ja
Hyundai,Hyundai Inster,El,~250 000 – 300 000,ja
Hyundai,Hyundai IONIQ,El,~300 000 – 400 000,ja
Hyundai,Hyundai IONIQ 5,El,från 624 900,nej
Hyundai,Hyundai IONIQ 5 N,El,~700 000 – 800 000,ja
Hyundai,Hyundai IONIQ 6,El,~500 000 – 600 000,ja
Hyundai,Hyundai ix20,Bensin,~200 000 – 300 000,ja
Hyundai,Hyundai ix35,Diesel,~250 000 – 300 000,ja
Hyundai,Hyundai Kona,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Hyundai,Hyundai Kona Electric,El,~400 000 – 500 000,ja
Hyundai,Hyundai Kona N,Bensin,~400 000 – 500 000,ja
Hyundai,Hyundai Santa Fe,"Bensin, Laddhybrid",~500 000 – 600 000,ja
Hyundai,Hyundai Staria,Diesel,~500 000 – 600 000,ja
Hyundai,Hyundai Tucson,"Bensin, Laddhybrid",~350 000 – 450 000,ja
Jaguar,Jaguar I-Pace,El,från 1 065 900,nej
Jeep,Jeep Avenger,"Bensin, El",303 900 – 409 900,nej
Kia,Kia Ceed,Bensin,~250 000 – 300 000,ja
Kia,Kia Ceed SW,Bensin,~250 000 – 300 000,ja
Kia,Kia EV3,El,~400 000 – 500 000,ja
Kia,Kia EV4,El,~400 000 – 500 000,ja
Kia,Kia EV5,El,~450 000 – 550 000,ja
Kia,Kia EV6,El,594 900 – 631 400,nej
Kia,Kia EV9,El,~700 000 – 800 000,ja
Kia,Kia K4,Bensin,~250 000 – 300 000,ja
Kia,Kia Niro,"Bensin, Laddhybrid, El",339 900 – 461 400,nej
